State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,0,0,0,1,0,0,0,0,1,0,0,1
2005,0,0,0,0,1,1,0,0,0,1,0,1
2006,0,1,1,1,1,1,0,0,1,1,1,0
2007,1,1,1,1,1,1,1,1,1,1,1,1
2008,1,1,1,1,1,1,1,1,1,1,1,1
2009,1,1,1,1,1,1,1,1,1,1,1,1
2010,1,1,1,1,1,1,1,1,1,1,1,1
2011,2,2,2,3,2,2,3,2,3,3,3,3
2012,4,7,7,6,6,7,12,12,10,10,8,9
2013,14,12,13,16,14,14,14,13,12,11,9,10
2014,13,10,11,11,13,13,12,10,9,8,7,9
2015,11,12,12,11,11,13,14,13,12,11,9,11
2016,15,14,14,18,17,18,15,13,13,12,12,13
2017,18,20,29,26,32,42,40,34,32,34,40,34
2018,75,62,62,66,74,79,89,83,63,62,54,58
2019,100,83,79,98,89,89,89,83,70,68,68,79
